twitter_name,full_name,location,twitter_id
eamonocuiv,Eamon o Cuiv,Galway ,81844092
aosnodaigh,Aengus O Snodaigh TD,"Dublin, Eire",82645739
ainecollinstd,Aine Collins,"Millstreet, Co.Cork",347778813
alanfarrell,Alan Farrell TD,Dublin Fingal,39472243
alanshattertd,Alan Shatter,"Dublin South, ireland",240624439
alexwhitetd,Alex White TD,"Dublin, Ireland",191085626
adoyletd,Andrew Doyle TD,"Wicklow and Dublin, Ireland",245434042
annphelantd,Ann Phelan TD,,576550726
anthonylawlorfg,Anthony Lawlor,Kildare,226631830
aodhanoriordain,Aodh?n ? R?ord?in TD,Dublin Bay North,120117254
springaj,Arthur Spring,North Kerry / West Limerick,116559835
cowenbarry,Barry Cowen ,,432054563
bernarddurkantd,Bernard Durkan TD,"Maynooth, Kildare North",228774722
billy_timmins,Billy Timmins,Wicklow,110711910
bobby_aylward,Bobby Aylward,,3072008153
bgriffintd,Brendan Griffin,"Kerry, Ireland.",192341330
brendanryantd,Brendan Ryan,Skerries,244026999
brendansmithtd,Brendan Smith,Cavan-Monaghan,430714461
brianstanleytd,Brian Stanley,Laois/South Kildare ,386170620
brianwalshtd,Brian Walsh TD,,393461982
cathmurphytd,Catherine Murphy,Leixlip Co Kildare,190987689
charlieflanagan,Charlie Flanagan,,87471023
mcconalogue,Charlie McConalogue,Donegal,197897890
ciaramconway,CIARA CONWAY TD ,#waterford #ireland ,84546428
ciarancannon,Ciaran Cannon,"Galway, Ireland",20586381
ciaranlynchtd,Ciaran Lynch,Rep. of Ireland,77986665
claredalytd,Clare Daly TD,Dublin North,385326089
cllrjoancollins,Cllr. Joan Collins,Dublin,150981180
connaughtonpaul,CllrPaulConnaughton,Galway,234688647
colm_keaveney,Colm Keaveney T.D.,Ireland,144942878
damien_english,Damien English TD,Meath West Constituency,63680662
dannevilletd,Dan Neville TD,"Co Limerick, Ireland          ",94069743
daracalleary,Dara Calleary,Mayo,67268150
daramurphyfg,Dara Murphy,"Cork, Ireland",237794265
davidstantontd,David Stanton TD, Ireland,104578228
denisnaughten,Denis Naughten,Roscommon Galway,21811630
derekkeating,Derek Keating TD,Dublin Mid-West,95884790
dereknolantd,Derek Nolan TD,Galway,215411682
dessieellistd,Dessie Ellis,"Fionnghlas, BaC",430934081
dinnymcg,Dinny McGinley T.D,Donegal,43008551
domhannigan,Dominic Hannigan,Meath,90059455
drjamesreilly,Dr James Reilly TD,"Dublin, Ireland",153563285
liamtwomey,Dr. Liam Twomey,"Rosslare, Co. Wexford",229015331
eamongilmore,Eamon Gilmore TD,Dun Laoghaire,327481914
endakennytd,Enda Kenny,Ireland,135514272
murphyeoghan,Eoghan Murphy,"Dublin, Ireland",109986944
ericbyrnetd,Eric Byrne,Dublin South Central,236487406
fergusodowd,Fergus O'Dowd,Drogheda Ireland,22983594
fiannafailparty,Fianna Fail,Ireland,19594736
finegael,Fine Gael,Ireland,19530527
finianmcgrathtd,Finian McGrath,,417312511
fitzgeraldfrncs,Frances Fitzgerald,Dublin,111338251
frankfeighan,Frank Feighan,Roscommon/South Leitrim,127331013
gabmcfadden,Gabrielle McFadden,Longford-Westmeath,2476878848
geraldnash,Gerald Nash TD,"Drogheda, Co. Louth, Ireland.",23781227
gerryadamssf,Gerry Adams,County Louth,245320407
hhumphreysfg,Heather Humphreys,,2791733978
hmcentee,Helen McEntee TD,,38000023
jamesbannontd,James Bannon TD,"Legan, Co.Longford",228769095
janosullivantd,Jan O'Sullivan,Limerick City,78019662
jerrybuttimer,Jerry Buttimer TD,Cork,21518722
jimdalytd,Jim Daly,Cork South West,258136924
jimmydeenihantd,Jimmy Deenihan TD,,243177419
joanburton,Joan Burton,Dublin West,77184360
joancollinstd,Joan Collins T.D.,Dublin South Central,361335767
joannatuffytd,Joanna Tuffy TD,"Dublin, Ireland",231942475
joecareytd,Joe Carey,Ennis,135877820
joecostellotd,Joe Costello,Dublin Central,77995220
joehigginstd,Joe Higgins TD,Dublin 15,36806703
joe_mchugh_td,Joe McHugh,Donegal,236912210
joeoreillytd,Joe O' Reilly ,,110670932
johnhalligan,John Halligan,Waterford City,116547221
johnlyonstd,John Lyons TD,Ballymun,233555616
johnomahonytd,John O'Mahony TD,Mayo ,233919401
jpphelan,John Paul Phelan,Carlow and Kilkenny,19964133
campaign4perry,John Perry T.D.,"Sligo, Ireland",90364806
jobrien_sf,Jonathan O'Brien,Cork North Central,219454029
kathleenlynchtd,Kathleen Lynch,,77989626
khumphreystd,Kevin Humphreys,Dublin Bay South,75995713
kodonnelltd,Kieran O'Donnell TD,"Castletroy, Co Limerick",234825661
campaignforleo,Leo Varadkar,Dublin West,229466877
lcreighton,Lucinda Creighton,Ireland,18016160
marcellack,M Corcoran Kennedy,Offaly,519212054
ferrismartin,Martin Ferris TD,"Kerry, Ireland",3190260429
martinheydonfg,Martin Heydon,,137363410
maryloumcdonald,Mary Lou McDonald,,148872468
mitchelloconnor,MaryMitchellO'Connor,D?n Laoghaire,92521829
mattiemcgrathtd,Mattie McGrath TD,"Newcastle, Tipperary.",121375039
maureenostd,Maureen OSullivan TD,Dublin,249347954
michaelcolreavy,Michael Colreavy,Sligo / North Leitrim,241298933
mhealyrae,Michael Healy-Rae,"Kilgarvan, Co. Kerry, Ireland",346630615
michael_lowry,Michael Lowry,Tipperary,103817716
mmccarthytd,Michael Mc Carthy,Dunmanway Co Cork,238158030
deputymcgrathtd,Michael McGrath,Cork South Central,2805902511
michaelringtd,Michael Ring TD,"Westport, Mayo, Ireland",242373942
fitzfordail,MichaelFitzMauriceTD,,2776653327
mmcnamara_clare,michaelmcnamara,,246966794
michealmartintd,Micheal Martin,,114007914
mulherinfg,Michelle Mulherin,"Ballina, Co Mayo",242791873
wallacemick,Mick Wallace,,248801998
alankellylabour,Min Alan Kelly TD,Tipperary ,116422140
niallcollinstd,Niall Collins,Limerick & Dail Eireann,172749267
noelcoonantd,Noel Coonan,North Tipperary,168669206
nharrington2,Noel Harrington TD,West Cork,98420900
4_johndeasytd,Office/John Deasy,Waterford,1104684048
omitchelltd,Olivia Mitchell,Dublin Rathdown,227338733
padraigmacl,PadraigMacLochlainn,"Donegal, Ireland",496338650
paschald,Paschal Donohoe,Dublin,19735329
patbreen1,Pat Breen T.D.,Ireland,29163101
patdeeringtd,Pat Deering,,492632023
patrabbittetd,Pat Rabbitte TD,Dublin,1570159428
podonovan,Patrick O'Donovan,County Limerick,70205816
paudiecoffey,Paudie Coffey TD,Waterford,122713304
pconnaughtontd,Paul Connaughton TD,East Galway,456156740
paulkehoetd,Paul Kehoe,,242804165
paulmurphyaaa,Paul Murphy,,270850017
campaign4kehoe,PaulKehoeTD ,"Enniscorthy, Co Wexford",327886319
toibin1,Peadar Toibin,An Uaimh,48667895
pearsedoherty,Pearse Doherty,Donegal,68690605
pb4p,People Before Profit,Ireland,237487471
pfitzpatricktd,Peter Fitzpatrick,"Dundalk, Co.Louth",244156314
petermathewstd,Peter Mathews TD,,577034468
phoganck,Phil Hogan ,Ireland,88647325
rboydbarrett,Richard Boyd Barrett,"Dublin, Ireland",236377912
richardbrutontd,Richard Bruton,Dublin Bay North,237376611
robert_dowdstd,Robert Dowds,"Dublin, Ireland",115924018
roberttroytd,Robert Troy TD,Westmeath/Longford,330904433
roisinshortall,Roisin Shortall,,78026748
ruairiquinntd,Ruairi Quinn,Dublin South East,76951150
ruthcoppingertd,Ruth Coppinger TD,Dublin 15,2529641024
Seankyne,Sean Kyne,,237788848
smclellantd,Sandra McLellan TD,Youghal,2797788759
Seancrowetd,Sean Crowe,"Tallaght, Dublin",1097860584
sofearghail,Sean O Feargha?l TD,Kildare,246820781
Seansherlocktd,Sean Sherlock TD,"Cork, Ireland",74979783
seamuskirk1,Seamus Kirk ,Where in the world are you?,516729176
Seanbarretttd,Sean Barrett,,228770219
Seanconlantd,Sean Conlan TD,"Ballybay, Co. Monaghan",1280360186
Seankennytd,Sean Kenny TD,Dublin Bay North,304321790
Seankynetd,Sean Kyne TD,Galway,316306021
shanemcenteetd,Shane McEntee TD,Co.Meath,236015752
shane_rosstd,Shane Ross,"Leinster House, Dublin. IRL.",239444226
simoncoveney,Simon Coveney,"Carrigaline, Co. Cork",118999126
simonharristd,Simon Harris TD,"Greystones, Co. Wicklow",21117425
sinnfeinireland,Sinn Fein,Ireland,22628924
socialistparty,Socialist Party,Ireland,25310399
donnellystephen,Stephen Donnelly,Ireland,237826875
labour,The Labour Party,Ireland,6751502
thomaspringletd,Thomas Pringle T.D.,"Killybegs, Co. Donegal",253184868
timmydooley,Timmy Dooley TD,Ireland,249719099
tombarrytd,Tom Barry,"Killavullen, Mallow, Co. Cork",234077156
tomhayestd,Tom Hayes,Tipperary,29466305
tommybroughantd,Tommy Broughan,Dublin Bay North,80267704
tonymcltd,Tony McLoughlin TD,Sligo-Leitrim-SDonegal-WCavan ,2791515085
willieodealive,Willie O'Dea,Limerick,211231464
williepenrosetd,Willie Penrose,Westmeath,78021401
